feature,importance_f1,importance_f2,importance_f3,importance_f4,importance_f5,importance_mean,importance_relative
AdvantageP1,12.984345273191797,11.133500660762262,16.249209846567798,12.330314764631103,13.98717652106283,13.336909413243157,0.13336909413243192
agent1,4.511654445648227,4.672350790595984,4.382521428032727,4.888696150921652,4.927031666350685,4.676450896309856,0.04676450896309868
agent2,4.343105406615395,4.441650798875609,4.327223437804436,4.66061622348282,4.635492613718373,4.481617696099327,0.04481617696099339
Balance,4.589714785930263,3.6677896107966395,4.554214909424697,2.8599273980006026,3.5934524403862076,3.8530198289076822,0.038530198289076924
PlayoutsPerSecond,2.869434040594975,4.070717507265888,2.867292997843662,3.228776691870866,3.7007348086660166,3.3473912092482814,0.033473912092482905
agent1_selection,3.0753821871030964,2.5531208047432066,2.8041314995437,2.48541709571382,1.558820532244528,2.49537442386967,0.024953744238696767
GameTreeComplexity,1.7398945036212938,2.6941613796120176,2.3316788979069085,2.5149398391931683,1.7907977100580497,2.2142944660782873,0.022142944660782933
MovesPerSecond,1.440017393775795,1.8157695376776564,2.5918095224463804,2.1624533571074958,2.2743049612939,2.0568709544602455,0.02056870954460251
OutcomeUniformity,1.9338558800230228,1.8369172883771963,1.8410084619824454,2.0106423534876856,1.8045651237592912,1.8853978215259282,0.01885397821525933
DurationMoves,2.2555340289403483,1.8357935782124897,1.0015389713306255,1.9046835197947787,2.279557000030265,1.8554214196617018,0.01855421419661707
agent2_exploration_const,1.371937726235175,1.9121706591890053,1.8203933732839908,1.9168257970331233,1.858196187429839,1.7759047486342265,0.017759047486342314
agent1_playout,1.7806996817222909,1.7707145420178858,1.7150761062412188,1.7626901067925582,1.6219232843953664,1.7302207442338642,0.01730220744233869
agent2_selection,1.58306347771523,1.7601781214656111,1.5757220978242554,1.7635065300945298,1.638821127597411,1.6642582709394074,0.01664258270939412
agent2_playout,2.4275911150403595,1.9159327302622902,1.2113356555488348,1.394686467337782,1.1414695168498827,1.6182030970078298,0.01618203097007834
DurationTurnsNotTimeouts,1.6962886808690871,1.4705624588237618,1.5034962089843218,1.6021494699650798,1.6264266333401636,1.5797846903964827,0.01579784690396487
DrawFrequency,0.8481121103337802,0.9743882520576148,1.8710883265065072,0.8473843467686643,2.229088718281632,1.3540123507896396,0.013540123507896433
agent1_exploration_const,1.258144225113447,1.3766355676377942,1.1612292746195338,1.3400992895670334,1.572456810628202,1.341713033513202,0.013417130335132055
StateTreeComplexity,1.5827968674467752,1.7574336207514736,1.2433100243808792,1.0122976866903697,1.0313315814733526,1.3254339561485702,0.013254339561485737
DurationActions,2.356235858065879,1.1107872768883424,0.7260580643660179,0.8621937552718081,1.4622099696304953,1.3034969848445086,0.013034969848445122
DecisionMoves,0.9634365382862206,1.14527250671007,1.1707282737132403,1.4772668845563002,1.0219941628806586,1.155739673229298,0.01155739673229301
DurationTurnsStdDev,0.8633874562886588,1.1501160407410527,1.1734941466243252,0.8461280527614967,1.5178512824288253,1.1101953957688717,0.011101953957688747
BranchingFactorMedian,1.2600628488055583,1.2594964417663412,1.0465174272969127,0.8586894437276353,0.7710051378371283,1.0391542598867152,0.01039154259886718
DecisionFactorMedian,1.0305155333279834,0.9760533906085058,0.9656613656977631,0.6637956961592851,1.0310652871751922,0.9334182545937459,0.009334182545937484
DecisionFactorChangeAverage,0.8574454552602664,0.7303036862196439,0.9685460923829488,1.0385258917815408,0.9675133814739691,0.9124669014236739,0.009124669014236765
DurationTurns,0.6076524663675665,0.859435278021398,1.1939707817502125,1.1363120318604332,0.5673750708012386,0.8729491257601698,0.008729491257601722
BoardSitesOccupiedMaxIncrease,0.7333775446339419,0.6306028472749325,0.6823336988342346,1.1328740093187883,0.8272340152416661,0.8012844230607128,0.00801284423060715
AsymmetricForces,0.49083200194304644,0.44779079061841287,0.9986824594372073,1.1808977901155637,0.7711561793227878,0.7778718442874036,0.007778718442874057
BranchingFactorAverage,0.9784689189968367,0.7087915091412824,0.758517493644418,0.44549206670471614,0.8466823802830951,0.7475904737540697,0.007475904737540717
HopCaptureFrequency,0.6939206008679383,0.6362381666955669,0.6254346649313473,0.8328985354437204,0.4523167690391149,0.6481617473955374,0.006481617473955392
DecisionFactorVariance,0.6358811416782585,0.569384364307624,0.7285514653692028,0.7116543351155374,0.5629137809436234,0.6416770174828492,0.00641677017482851
BoardCoverageUsed,1.1445959777064658,0.5140337316312958,0.47918214105912726,0.5334822146214889,0.4382324049116853,0.6219052939860126,0.006219052939860143
BoardSitesOccupiedMaximum,0.49086954324901577,0.539803895805247,0.8665482728998904,0.4189194836937114,0.7676650039650526,0.6167612399225835,0.006167612399225851
PieceNumberVariance,0.4561502957737232,0.7948485640872439,0.7164744094087375,0.42722839709711063,0.5890313632421412,0.5967466059217913,0.0059674660592179294
PieceNumberMaximum,0.5966058226148719,0.5668126339486207,0.5077617556475671,0.718326074408072,0.5378351585142985,0.585468289026686,0.005854682890266876
PieceNumberAverage,1.0929407288698851,0.35250163380422567,0.4157448847950856,0.3900478973601751,0.6288685586589415,0.5760207406976626,0.0057602074069766415
BoardSitesOccupiedChangeSign,0.4883985617158166,0.6062956960034077,0.5110725308930861,0.41161336641120083,0.6846191077372781,0.5403998525521578,0.0054039985255215925
BoardCoverageFull,0.5224020265508741,1.2420097636648417,0.23021857634978718,0.34932665316336853,0.3161291233534737,0.532017228616469,0.0053201722861647045
GreaterThanOrEqual,1.0095301847342455,0.10598209681835291,0.6431911844811192,0.5599835334694138,0.33744438024426576,0.5312262759494795,0.005312262759494809
NumEdges,0.2558430202999325,1.4431275693766294,0.17661853916262604,0.47025768230367343,0.25246127799509566,0.5196616178275913,0.005196616178275927
PieceNumberMedian,0.452772373142303,0.7475117637905533,0.2858211136828837,0.6738738085800666,0.40504477485679613,0.5130047668105205,0.005130047668105219
BranchingFactorChangeMaxIncrease,0.40832700031697244,0.4051964429533161,0.4718800330037242,0.5985695014426804,0.6568883885357849,0.5081722732504956,0.00508172273250497
BranchingFactorChangeAverage,0.5590008784178898,0.39727703187144037,0.6122848427004844,0.34269279994334056,0.5359641143990095,0.48944393346643283,0.004894439334664342
BoardSitesOccupiedAverage,0.5296140491443843,0.5060778836576109,0.5325631647537229,0.49044557389935933,0.38488791923424137,0.4887177181378638,0.004887177181378651
FromToDecisionBetweenContainersFrequency,0.4428630490291097,0.36935405672017,0.9489563643836602,0.4192793097766051,0.21430897328275433,0.4789523506384599,0.004789523506384613
AsymmetricPiecesType,0.7943479008975536,0.16274810401683756,0.2723867298500504,0.7647764362028184,0.3316131042841957,0.46517445505029115,0.004651744550502924
StepDecisionToEmptyFrequency,0.35603869587548864,0.601077102318295,0.5412659334341752,0.21531007797262908,0.5973111806850084,0.46220059805711927,0.004622005980571205
BranchingFactorChangeMaxDecrease,0.4551306538340297,0.5982627119757881,0.3730621704484131,0.4077365669135496,0.4719175571206801,0.4612219320584921,0.0046122193205849335
BoardSitesOccupiedMedian,0.5910373904613425,0.4656309372279499,0.37726198671922884,0.38439110449840314,0.46327021309266414,0.45631832639991765,0.004563183263999189
BranchingFactorVariance,0.5818303933673734,0.5751501379861707,0.1748473494400517,0.33125443939424243,0.5852987257211572,0.44967620918179907,0.0044967620918180025
Asymmetric,0.5067221284734805,0.10029247540103783,0.3064082565585621,1.009437355692642,0.30518364724770086,0.4456087726746846,0.004456087726746858
DecisionFactorChangeSign,0.4076969571333273,0.4051564770355315,0.4780434015408455,0.5521622623278136,0.35400608027081887,0.43941303566166734,0.004394130356616685
DecisionFactorMaxIncrease,0.2617216441645005,0.40227229745977955,0.4583513780143869,0.4600385832739651,0.5132932942693686,0.41913543943640014,0.004191354394364012
NumOrthogonalDirections,0.4329181002622205,0.4863247227378275,0.35296488958158734,0.5407078720047902,0.26294720383803716,0.4151725576848925,0.004151725576848936
BoardSitesOccupiedMaxDecrease,0.5610436546357018,0.27044586206844345,0.3347794044501549,0.44191411966510663,0.4505512808004688,0.41174686432397517,0.004117468643239763
BranchingFactorMaximum,0.6765725198986836,0.21569301507764718,0.30260311070707685,0.2892907222188368,0.5360255543208751,0.40403698444462394,0.00404036984444625
NumOuterSites,0.9126475347181154,0.3078832606185385,0.34399001949242514,0.21699794499298564,0.15056611834555872,0.38641697563352473,0.0038641697563352576
NumVertices,0.11206328950897795,0.19964154670271175,0.19541868086942088,0.8303943345363471,0.5529498768753501,0.3780935456985616,0.003780935456985626
NumAdjacentDirections,0.3035832950591168,0.5222548955087898,0.37050674974613024,0.2376899711790295,0.4344270428445456,0.3736923908675224,0.0037369239086752336
NumPerimeterSites,0.08865609635451141,0.11369959268877332,0.016489865746879405,1.3432427913898966,0.2886120780007578,0.3701400848361637,0.0037014008483616466
NumCells,0.065330421159097,0.13542617756110195,0.6722006479678452,0.0749851220576723,0.8633407460885271,0.3622566229668487,0.0036225662296684967
DecisionFactorAverage,0.462447847212376,0.46396464902035617,0.15605765643933753,0.3555143776710244,0.3709866886171609,0.361794243792051,0.0036179424379205196
DecisionFactorChangeLineBestFit,0.19217734421867014,0.5744855970726739,0.3199551482447371,0.2809404893355547,0.4201013378661798,0.3575319833475631,0.0035753198334756405
DecisionFactorMaxDecrease,0.31328536757116454,0.324078529958791,0.3163724820509603,0.4125108898655918,0.35794717536656395,0.34483888896261433,0.003448388889626153
NumPlayableSitesOnBoard,0.6552662290155243,0.19036040712946037,0.3100419940980774,0.22478386507297135,0.3185984712781555,0.3398101933188378,0.0033981019331883874
HopDecisionEnemyToEmptyFrequency,0.31644837227691974,0.32625942992075313,0.30046607845217366,0.3468105403168114,0.27776201385260807,0.3135492869638532,0.0031354928696385406
NumStartComponentsHand,0.36699946101402836,0.2108263098677429,0.5112857708123782,0.10694861758828593,0.3397361965360506,0.3071592711636972,0.00307159271163698
BoardCoverageDefault,0.1673996298019663,0.46607129405763104,0.1695628418313973,0.5185327500218107,0.19218313002039875,0.3027499291466408,0.003027499291466416
BranchingFactorChangeSign,0.25973383021321156,0.3393493614116504,0.2606365085111032,0.3447503488288144,0.2885861729708103,0.29861124438711795,0.0029861124438711876
NumDirections,0.15343209752657247,0.27259230143882474,0.7760343991067226,0.112234682707523,0.177350099965651,0.29832871614905876,0.0029832871614905955
Subtraction,0.7756511718504314,0.02085726647429069,0.08938099531397185,0.12706945480490095,0.4284827840841934,0.2882883345055577,0.0028828833450555845
PieceNumberChangeLineBestFit,0.3014101278223665,0.2184104594456037,0.4143817057301244,0.30650484865360367,0.17409385752321532,0.2829601998349828,0.0028296019983498353
SetNextPlayerFrequency,0.32255519155953155,0.40410945618788463,0.2323129321619625,0.23087039709509516,0.18182076415224763,0.27433374823134427,0.0027433374823134502
AnimalComponent,0.14152058513129812,0.8179237393444887,0.010086368645727095,0.05729992592798773,0.31812886557335,0.2689918969245704,0.002689918969245711
DecisionFactorMaximum,0.2459787459496027,0.0639229597638938,0.28406511963623077,0.4874529448131983,0.2596440274051975,0.2682127595136246,0.0026821275951362535
NumPlayableSites,0.41284867924952007,0.2420729510565066,0.1792199166993554,0.34573312147988,0.1554777127306253,0.2670704762431775,0.002670704762431782
BoardSitesOccupiedVariance,0.35747886582667865,0.30495093738730233,0.22786783966179808,0.2365432148257226,0.20614391320534908,0.2665969541813702,0.002665969541813709
StepDecisionFrequency,0.30173864072405554,0.29448582007064567,0.19258237951925625,0.24619707007388353,0.24165927753746994,0.2553326375850622,0.0025533263758506287
NumDiagonalDirections,0.5767568887749905,0.25547477643182476,0.15648538316893915,0.11683741343647638,0.12423549685186168,0.24595799173281852,0.0024595799173281916
RemoveDecisionFrequency,0.2275912504625746,0.18542188533828324,0.1511146836328753,0.2965063569842837,0.34882097441427906,0.24189103016645913,0.0024189103016645976
NumRightSites,0.04415598206634587,0.39019204684974235,0.5644789824006151,0.10431727587764118,0.0762471377739695,0.23587828499366278,0.0023587828499366343
FromToDecisionEmptyFrequency,0.3151148876291484,0.14467674370857114,0.4613027176024896,0.12648877612522966,0.13054588201151401,0.23562580141539055,0.002356258014153912
PieceNumberChangeSign,0.3236691598332606,0.1894376018786881,0.23242053660230574,0.18314122356689597,0.21723222789274083,0.22918014995477826,0.0022918014995477885
EliminatePiecesWinFrequency,0.3156824392609395,0.2446438962643071,0.2585951212243161,0.17802490793465625,0.14833748097316446,0.22905676913147666,0.0022905676913147727
NumStartComponentsHandPerPlayer,0.21576276641307,0.2529980880990025,0.031904383123772424,0.20330105178045266,0.426658997348667,0.22612505735299293,0.0022612505735299356
BranchingFactorChangeLineBestFit,0.3137204480797983,0.19624904814447944,0.1505741166934418,0.22477979444597865,0.2124544576494174,0.21955557300262313,0.002195555730026237
DecisionFactorChangeNumTimes,0.14871129898027347,0.3056471522623616,0.1839203030023392,0.24743089364696777,0.207974796318949,0.2187368888421782,0.002187368888421788
HopCaptureMoreThanOneFrequency,0.28794147341967435,0.10038998723142842,0.32227016630112243,0.0741126542922708,0.2981235120481468,0.21656755865852856,0.0021656755865852913
LineWinFrequency,0.1804280649854665,0.1800378333921291,0.2538612119291886,0.2522447895402452,0.1901170001099976,0.2113377799914054,0.00211337779991406
RemoveEffectFrequency,0.12219969227026066,0.14289216035985905,0.2175018898940852,0.42793871337424316,0.07226006336082914,0.19655850385185542,0.0019655850385185596
PieceNumberChangeAverage,0.24722761823736403,0.1653886293344927,0.09712874229549959,0.27446355278325985,0.19393619965877348,0.19562894846187792,0.0019562894846187843
MoveAgainFrequency,0.22690935687156993,0.2114491860843623,0.2322899105690465,0.13785513635474048,0.16344685715511836,0.1943900894069675,0.0019439008940696802
Line,0.114585711604728,0.37718612181731154,0.08048877392697223,0.19239145933086757,0.20687970561555719,0.19430635445908728,0.0019430635445908781
NumColumns,0.1665154919736749,0.2409296546043644,0.1114269263225932,0.2880504982391002,0.16414561686728465,0.19421363760140348,0.0019421363760140401
PieceNumberMaxDecrease,0.1227507757593988,0.2871995058351843,0.17961605331559252,0.22576439853363398,0.10595580127592319,0.18425730694394654,0.0018425730694394704
NumStartComponentsPerPlayer,0.07435361000466201,0.16632971700396665,0.046217515596460625,0.3083179829273095,0.29070498214054774,0.1771847615345893,0.001771847615345898
agent1_score_bounds,0.19200083435388707,0.28114125344297586,0.10301465153105123,0.12394150181621845,0.18396716058161522,0.1768130803451496,0.0017681308034515006
MoveDistanceVariance,0.11921467197923048,0.3017626121037901,0.13194039482766684,0.12076037732768649,0.19268525563910327,0.17327266237549543,0.0017327266237549591
NumInnerSites,0.3744150636293573,0.07724227169954175,0.11385812548507677,0.1651707530249083,0.09531607329197564,0.16520045742617195,0.001652004574261724
EliminatePiecesEndFrequency,0.14066971646124168,0.18539750979553435,0.19308475419330415,0.2071682915913456,0.08702408013992959,0.16266887043627104,0.0016266887043627147
SpaceConditions,0.06545079307139426,0.27293064148421675,0.07142617781126596,0.30952336079577497,0.040504471589369664,0.1519670889504043,0.0015196708895040471
MoveDistanceChangeAverage,0.1464701803027655,0.17789050959355626,0.14727968671791902,0.11632496370131114,0.17146548305049938,0.15188616467321026,0.0015188616467321067
NumRows,0.1122750833134127,0.07481717104838681,0.39699113916258916,0.12456659210775092,0.04393285797500429,0.15051656872142877,0.0015051656872142917
NumStartComponentsBoardPerPlayer,0.16705335560531284,0.019448002504545654,0.18789628682398274,0.3566020899343797,0.0075766533779013726,0.14771527764922446,0.0014771527764922486
ReachEndFrequency,0.06600479009161697,0.13838629915051404,0.1725789472839262,0.16436317465526207,0.1946286219323677,0.1471923666227374,0.0014719236662273782
SetNextPlayer,0.06468320751729056,0.2742633554650882,0.1768871030859254,0.20116084570099993,0.017090896752842626,0.14681708170442934,0.0014681708170442974
NumCorners,0.18168318727604948,0.15950826599217868,0.15539782862271123,0.1475231195966109,0.07732457717177026,0.1442873957318641,0.001442873957318645
PassDecisionFrequency,0.16104938468527755,0.15830202444868782,0.15656212436657416,0.07730988007555355,0.15217998799877971,0.14108068031497456,0.0014108068031497493
StepDecisionToEnemyFrequency,0.03148161040711233,0.13654594836023487,0.0985079803416542,0.3278534592417437,0.07197142344526705,0.13327208435920243,0.001332720843592028
MorrisTiling,0.06318971502219092,0.13664755754713684,0.09924015089608178,0.1640488055121648,0.18873431118618,0.13037210803275087,0.0013037210803275123
MoveDistanceAverage,0.1597060567732976,0.1019549014158657,0.09030145307166419,0.1215120273645842,0.15511003622774638,0.12571689497063163,0.0012571689497063196
Comparison,0.02895201083066344,0.3021159008502079,0.06888306235572425,0.10758690728294242,0.09656236067156078,0.12082004839821976,0.0012082004839822009
ScoreDifferenceVariance,0.19676144900198703,0.047916349487956936,0.07262746075736355,0.04838527414282471,0.22923300056951465,0.11898470679192938,0.001189847067919297
LineEndFrequency,0.17986095725569717,0.10713831108742682,0.08874712435725891,0.05145667620025071,0.15728401881637663,0.11689741754340206,0.0011689741754340238
agent2_score_bounds,0.12179076007837814,0.20270784428833058,0.08900387930035318,0.0795928795504972,0.08776473893950819,0.11617202043141346,0.0011617202043141379
CustodialCaptureFrequency,0.04721834092946911,0.19152333823214152,0.10488297180043091,0.13295986727780418,0.09746740040070453,0.11481038372811006,0.0011481038372811038
ScoreDifferenceMaxIncrease,0.13694053652882787,0.128767231302149,0.09022296073822393,0.11092832865131624,0.09530161015597648,0.1124321334752987,0.00112432133475299
NumStartComponentsBoard,0.07443258847731812,0.1025517000432207,0.0730085004124944,0.26228784576450753,0.03373081968251127,0.10920229087601041,0.001092022908760107
SameLayerDirection,0.010352305188071464,0.03448561900201667,0.11321701695266595,0.22157948070755476,0.16413439590071863,0.1087537635502055,0.0010875376355020578
HopDecisionEnemyToEmpty,0.14489070638626017,0.14707087152314458,0.0004199823827019687,0.042993770207483746,0.20649232332103007,0.1083735307641241,0.001083735307641244
SlideDecisionToEnemyFrequency,0.07437490434116831,0.056140332513270136,0.014574405768490374,0.13530032535121178,0.2510415954676876,0.10628631268836566,0.0010628631268836594
HopDecisionFrequency,0.061905686914487855,0.2368623730502283,0.06169303321568998,0.029885440499420286,0.13567936112454237,0.10520517896087375,0.0010520517896087404
HopDecisionMoreThanOneFrequency,0.12630990818113205,0.057922308860062596,0.13596687812607608,0.10189888719063224,0.10012559017154464,0.10444471450588952,0.001044447145058898
SlideDecisionToEmptyFrequency,0.07559247730141398,0.1219707052887285,0.10444630595366912,0.09504626084369155,0.1240895457746175,0.10422905903242415,0.0010422905903242443
BoardSitesOccupiedChangeAverage,0.16093155768261858,0.08604206478932078,0.03528554999882024,0.08870756318060756,0.14789148016084422,0.10377164316244228,0.0010377164316244256
NumCentreSites,0.1322495866546693,0.07972289794211201,0.06067930769306622,0.14006485708903527,0.10100102086240378,0.10274353404825731,0.0010274353404825759
MoveDistanceMedian,0.0610995799363496,0.11851195475365282,0.10040557888275574,0.14760123893565963,0.08146007051367281,0.10181568460441812,0.0010181568460441838
NumPhasesBoard,0.1069990649629855,0.13184550137800097,0.15230812573133964,0.01840982254559365,0.09138610924316318,0.10018972477221659,0.0010018972477221686
SowWithEffect,0.0,0.1475088448274626,0.0,0.08630437884516294,0.2664436494929579,0.10005137463311668,0.0010005137463311696
ScoreDifferenceAverage,0.06872330371127955,0.16383003981475872,0.09422472982683519,0.09371666784287919,0.07878476180979291,0.09985590060110912,0.000998559006011094
NineMensMorrisBoard,0.08549845482461235,0.0930515563452528,0.09676840273844886,0.09030292622833835,0.13332132720082018,0.09978853346749451,0.000997885334674948
AddDecisionFrequency,0.07308897409597714,0.0695522843942647,0.10765338251164251,0.10853176131112716,0.1397926103199081,0.09972380252658393,0.000997238025265842
Conjunction,0.10471598611111894,0.06555137044834172,0.09083229511823335,0.08891448971724315,0.14359078138001266,0.09872098455498997,0.0009872098455499024
ScoreDifferenceChangeAverage,0.03206130023114579,0.12765647296082283,0.11871802670707197,0.12658999196237286,0.08715223827826611,0.09843560602793591,0.0009843560602793618
MoveDistanceMaxDecrease,0.09794393894775104,0.07393789365018935,0.05182636646878207,0.0673834790662557,0.1971527964756378,0.0976488949217232,0.0009764889492172346
Logic,0.06645397358551208,0.12813866468212445,0.043184364588880045,0.16795353276036162,0.07697827761219206,0.09654176264581406,0.0009654176264581432
NumPlayPhase,0.09604435155893101,0.09479821267502903,0.06492299732714849,0.08969766122885393,0.13367480363984885,0.09582760528596226,0.0009582760528596252
SurroundCaptureFrequency,0.07798672073083027,0.12420763237411703,0.14547159731890077,0.0008751578518877869,0.12440541280314879,0.09458930421577694,0.0009458930421577719
PieceCount,0.0,0.17201969916506762,0.03663573296170553,0.14740843232703682,0.11238463696880284,0.09368970028452257,0.0009368970028452283
NumLeftSites,0.04973531735911501,0.08554553787789483,0.038153417793733164,0.14813963072624492,0.14092894171048462,0.09250056909349451,0.0009250056909349476
TwoSitesMoves,0.04964831590949672,0.0780092453087018,0.13391841231973575,0.047544580465976614,0.1484914414333423,0.09152239908745063,0.0009152239908745088
SowCaptureFrequency,0.010310080393029518,0.13276476172457208,0.06808023109109342,0.13026826605785946,0.10460458071890943,0.08920558399709279,0.0008920558399709303
Equal,0.03531113054719152,0.07915042231748924,0.018987337330310317,0.24855603355872033,0.060924001492612095,0.0885857850492647,0.0008858578504926494
NumStartComponents,0.10256601158184973,0.06109084652751819,0.0675942274407501,0.11510719494166861,0.09561076162873541,0.08839380842410441,0.0008839380842410464
MoveDistanceChangeSign,0.06742850713835376,0.1456299274154678,0.040218159675285095,0.041795511750702945,0.14655999287613417,0.08832641977118875,0.00088326419771189
Set,0.03418350665326127,0.019662955451530288,0.06296871451938169,0.1660759972028655,0.13108172007585486,0.08279457878057872,0.0008279457878057894
NumComponentsType,0.0646798241661642,0.01248113022102541,0.1171212087723639,0.20668716951428506,0.012265953798150866,0.08264705729439789,0.0008264705729439812
Disjunction,0.01769703755536503,0.18951880556554368,0.12774972318190683,0.042408564562713864,0.02526434886026038,0.08052769594515795,0.0008052769594515816
NumBottomSites,0.061047183085635046,0.0385338828430053,0.09701898159356749,0.09461197736981734,0.10657546090008964,0.07955749715842296,0.0007955749715842318
ReplacementCaptureFrequency,0.019096210366625493,0.04665810569261112,0.14799107453707694,0.08812590709202472,0.09476507623947322,0.0793272747855623,0.0007932727478556251
SowRemoveFrequency,0.0548918513639601,0.11715521110180985,0.08264967264040149,0.0628190809970902,0.07594039792447829,0.07869124280554798,0.000786912428055482
ScoreDifferenceMaximum,0.03814491615077422,0.09170880862374862,0.10051059350479165,0.05855023974253166,0.10223745774444405,0.07823040315325804,0.0007823040315325825
