feature,importance_f1,importance_f2,importance_f3,importance_f4,importance_f5,importance_mean,importance_relative
AdvantageP1,62755.15579457395,69780.34746678919,53755.75075194985,64809.811508942395,62457.308469481766,62711.67479834743,0.1778041108699605
agent2,33524.475938688964,33469.501440180466,32343.26094413735,32140.03309734352,33075.49947358109,32910.554178786275,0.09331008688275311
agent1,32482.240991527215,33088.56730986759,31875.479272138327,30226.630448803306,31011.492916831747,31736.88218783364,0.08998241774498342
Balance,18313.70882371068,12886.966571263969,11694.565918147564,7980.449572643265,14965.59748364985,13168.257673883065,0.03733547788254911
Asymmetric,7547.731057912111,6208.592071682215,8877.530137043446,12633.665237762034,8694.527175139636,8792.409135907888,0.02492879505836793
OutcomeUniformity,5947.420877689496,9330.210983091965,10135.819758387282,6397.173472547904,6483.029128223658,7658.730843988061,0.021714518588228236
agent2_selection,5728.3114638365805,6944.454656179994,6527.694861903787,5213.074116485193,5830.334435347468,6048.7739067506045,0.017149866748121835
DrawFrequency,4344.53296495229,5333.768776757643,5027.291563505307,7535.629244629294,6117.060637837276,5671.656637536362,0.016080639989915196
agent1_selection,4966.979299247265,6132.506524734199,5368.336826335639,5537.147534336895,4840.290752161294,5369.052187363059,0.01522267669390424
PlayoutsPerSecond,4295.301901964471,4225.901195440441,4701.887186603621,4660.04983734712,4075.7048103138804,4391.7689863339065,0.012451821487343622
DurationTurnsNotTimeouts,8799.388396730646,2121.500178962946,3834.075036264956,2594.419695435092,3108.200508488342,4091.5167631763966,0.011600527374295044
agent2_playout,3613.9169254172593,3998.2418768759817,4042.6652679406106,3841.107463758439,3714.4557417295873,3842.0774551443756,0.010893301255342462
agent1_playout,3587.9809831157327,4010.132135488093,3623.82384843193,3842.0640980955213,3918.184168346226,3796.4370466955006,0.010763898679664355
GameTreeComplexity,3111.562188334763,3112.6476003769785,5213.979732468724,3113.85937920399,3488.8799809273332,3608.1857762623576,0.010230156758927331
DurationTurns,2986.9560080301017,2909.8905536253005,2053.7556624896824,5515.698266355321,2387.73775187321,3170.807648474723,0.008990074599180935
DurationMoves,2338.5189214292914,2198.9239373672754,2456.964122044854,1407.9034906663,4062.4317655023187,2492.948447402008,0.007068165274811688
MovesPerSecond,1004.1576848775148,3091.0301763843745,3036.3043722249568,2060.1719272332266,3027.125658372417,2443.757963818498,0.00692869730134497
AnimalComponent,2416.5675326138735,3719.0034922137856,1056.027645289898,2704.3278326019645,2211.4589308202267,2421.4770867079496,0.006865525147885782
DurationActions,3279.0715461960062,2238.120843505487,1247.9788297601044,1944.9594640973955,2776.5187257044017,2297.329881852679,0.006513535132513654
Operations,2320.8840393312275,1962.1961168944836,1230.722623936832,731.7836251370609,3227.491137176752,1894.6155084952711,0.005371733844003748
AsymmetricForces,2818.909466832876,3273.3278692513704,1835.8367959707975,492.3619907461107,823.2310981675982,1848.7334441937505,0.005241646110352195
LesserThanOrEqual,2529.129823461175,637.8119772300124,1203.8152080774307,2075.3162594512105,1630.5016975998878,1615.3149931639432,0.004579843339505259
GreaterThanOrEqual,1307.4514693319798,2356.441286459565,1606.503543227911,1530.7762769944966,1135.2097123637795,1587.2764576755465,0.00450034670847697
Cell,1561.2444396857172,1527.937031544745,1679.0003236457705,1546.4983240924776,1586.773393234238,1580.2907024405897,0.0044805402529437596
HopDecisionEnemyToEmpty,1614.6517775505781,1143.9197037667036,1192.1004407852888,939.153932929039,2547.543139576912,1487.4737989217042,0.004217379891544621
NumOrthogonalDirections,2051.215418206528,1028.7838481515646,2468.1140519417822,1125.710811626166,737.7310903985053,1482.3110440649093,0.0042027421221037045
DurationTurnsStdDev,1586.81772018224,1513.279405735433,1161.6159176416695,1308.0097863730043,1769.1882791407406,1467.7822218146175,0.004161549085392318
SpaceConditions,1193.3227678760886,1846.966927729547,1024.8457004986703,2029.5519344992936,1015.8189561842009,1422.1012573575601,0.004032031522752078
DecisionFactorMedian,724.5736518390477,1191.5950528942049,1525.0864113848656,2300.9323721844703,1263.2189301848412,1401.081283697486,0.003972434362587604
BranchingFactorVariance,1567.8779544401914,992.6355819124728,2182.128879070282,934.1537660071626,982.9885478466749,1331.9569458553567,0.003776448663449197
DecisionFactorVariance,1341.5813330132514,1512.0859463270754,652.1876565609127,1445.2347463406622,1286.4169369004667,1247.5013238284737,0.0035369947367163215
Contains,2668.537196546793,496.6830468773842,584.7130679786205,378.93514123000205,2022.2309603877366,1230.2198826041072,0.0034879973004123092
BranchingFactorMedian,756.6193972751498,1499.8577098157257,1150.4922153055668,1401.8882057890296,1339.7074341848493,1229.7129924740643,0.003486560133422736
Completion,1032.304228644818,1507.249974951148,1205.2485763765872,1411.6652301587164,949.924493432045,1221.278500712663,0.003462646128365491
BranchingFactorChangeMaxDecrease,863.6848211679608,936.6144282687455,2057.445895958692,508.6647160574794,1624.2844805531204,1198.1388684011995,0.003397039177790062
Drawishness,868.6226780973375,743.6310219094157,1115.6804006174207,2003.9849253352731,1180.4663123562932,1182.477067663148,0.0033526338487375983
Subtraction,653.9315102100372,768.0417798310518,2590.9350237846375,502.56647478044033,1326.3899053093046,1168.3729387830942,0.0033126449295582403
Hand,1529.2213127315044,947.2947947531939,592.3522446639836,1427.6985942609608,997.6504403501749,1098.8434773519634,0.0031155105983705932
DecisionFactorMaximum,682.5255869626999,1036.9267440270633,1401.5685715861619,949.6632850002497,1420.6265053488314,1098.2621385850011,0.0031138623498920387
Shape,916.9102718196809,1390.6888028029352,624.5491476003081,1451.3503680303693,1093.1013090535998,1095.3199798613787,0.003105520555201112
MancalaTwoRows,1380.9605117794126,600.5450531542301,278.68683002889156,2263.9075665324926,945.0097011774778,1093.821932534501,0.0031012731965736617
NumEdges,719.0921877194196,335.4271518494934,302.0034980326891,1956.7053721658885,1992.6112966183573,1061.1679012771697,0.003008690419719125
Set,1374.0346117988229,1086.5054876096547,487.7654354944825,868.48984708637,1446.12743447721,1052.584563293308,0.0029843543964280183
agent1_exploration_const,695.6163296867162,1070.69063796103,1004.1001450549811,1140.072880415246,1331.5156650152057,1048.3991316266358,0.0029724875955732715
HopCapture,724.3047204986215,1211.0496970415115,1162.7232047617435,1509.0466867983341,633.9814237654209,1048.2211465731264,0.0029719829610807447
BranchingFactorMaximum,1275.1290538422763,903.5882167164236,1502.5268027745187,961.1617263518274,544.934832893312,1037.4681265156717,0.002941495317804903
StepDecisionFrequency,915.1900054365396,1126.523888092488,1759.8555926736444,785.1374381985515,434.80111100897193,1004.3016070820391,0.002847459502025611
Region,968.7076851502061,847.8205815330148,1266.4514000974596,937.6899180673063,997.5791995897889,1003.6497568875551,0.002845611335083437
agent2_exploration_const,1164.985760897398,1147.6163284629583,1143.1435175389051,664.2764459848404,896.4452351629734,1003.2934576094151,0.0028446011328115794
Equal,664.0030709728599,1315.195891648531,1167.0229099094868,520.3382313102484,1062.6398332268,945.8399874135852,0.002681705416544845
DecisionFactorChangeNumTimes,659.1548453569412,1106.7307780124247,1034.6203294843435,969.8801450142637,940.7949798163027,942.2362155368552,0.0026714877743533303
Line,764.5142231285572,1007.5170902609825,857.5403194501996,822.1049663312733,1186.1865784600377,927.5726355262101,0.0026299126639078353
NumAdjacentDirections,1075.0908794756979,1221.526986964047,391.3445763401687,310.4474194794893,1591.871649350971,918.0563023220748,0.002602931353497223
MovesNonDecision,608.1601504683495,1026.5963266678154,455.25475189089775,1321.7749854549766,1137.7621512301266,909.9096731424331,0.002579833514657307
BoardSitesOccupiedMaximum,755.2852984908968,1138.413226030767,1165.6962212733924,780.1779289562255,665.7562167420983,901.065778298676,0.0025547587440603163
StepDecisionToEmptyFrequency,1015.2572725117207,701.4355774484575,1609.411371357739,673.5359553396702,501.4267831519246,900.2133919619024,0.002552342004350923
SowWithEffect,450.9040353447199,976.6724477410316,2324.6182314753532,531.9456521570683,204.46315105259418,897.7207035541535,0.002545274576356999
NumDirections,590.2612537089735,1144.4998518452048,429.53836311399937,930.304188689217,1311.053296515718,881.1313907746226,0.002498239506440705
Distance,849.7157816290855,619.7747090533376,840.5057496279478,1361.1150088757277,701.5230627581477,874.5268623888493,0.0024795139294070206
BranchingFactorAverage,1461.9894636794925,530.3136005345732,595.4298359705135,505.38062253873795,1105.9680262580514,839.8163097962737,0.0023811003730576925
DecisionFactorAverage,822.9250886999071,620.0252158790827,1158.4804212525487,659.1944689936936,911.0336981751025,834.3317786000669,0.0023655502829665596
Complement,550.2713271752,850.4441153332591,498.97644168138504,497.6234151646495,1726.8502435404807,824.8331085789948,0.002338619052330883
FromToDecisionBetweenContainersFrequency,616.4974746368825,253.54576425626874,1226.2535859774798,1357.9083577916026,661.06785787642,823.0546081077307,0.0023335765351920603
BranchingFactorChangeMaxIncrease,1224.3581832535565,826.9696184843779,619.3242285661399,919.7929717656225,487.21167821623385,815.5313360571861,0.0023122460779513433
DecisionMoves,987.1779212411493,879.1114682517946,672.1548645626754,872.4356819204986,665.9749726429582,815.3709817238152,0.002311791431192812
Conjunction,596.0409567579627,713.5358201805502,664.543928489089,776.8141042012721,1324.9065804108977,815.1682780079543,0.002311216712783766
PiecesPlacedOutsideBoard,612.6311191096902,826.1646325290203,709.7409718334675,894.328928630799,1000.6867197006941,808.7104743607342,0.002292907139018452
NumOuterSites,546.8578869737685,877.4275475591421,1370.3440005928278,673.9474048092961,561.9567706137896,806.1067221097649,0.002285524815784414
MancalaBoard,505.5449219793081,376.7876486033201,795.3070747330785,762.6295465007424,1486.5074757412076,785.3553335115314,0.002226689164992272
BoardSitesOccupiedMedian,753.042298167944,725.0556713435799,1143.3061113264412,573.025567939505,713.9785763062537,781.6816450167447,0.0022162732907785926
StateTreeComplexity,830.0227422919124,404.83969291113317,972.681758781895,665.1065354570746,976.1719056982547,769.764527028054,0.0021824851233452555
DecisionFactorMaxIncrease,753.7910611238331,453.74230702780187,1032.5049464553595,866.157694445923,682.5165008604527,757.742501982674,0.002148399516782783
PieceCount,770.8981842026114,993.4237107727677,812.1054236143827,460.47555124759674,743.645734667778,756.1097209010273,0.0021437701524833763
NumPlayableSitesOnBoard,442.3314490914345,636.0957744270563,764.6757373400033,271.0010801553726,1590.7960388567299,740.9800159741193,0.0021008734551633958
DecisionFactorChangeSign,845.9791599102318,359.75911736115813,828.4719993267208,670.3865482080728,995.9830351751298,740.1159719962627,0.0020984236629719207
DecisionFactorMaxDecrease,401.18086304701865,875.5700014736503,1017.2109434399754,666.1104309689254,708.119252614677,733.6382983088494,0.0020800577524106127
MoveConditions,828.4403248950839,411.46098395064473,1421.4992728456855,340.5071357861161,584.4615444764495,717.2738523907959,0.002033660239257038
NumPlayableSites,387.96810343675315,1138.6281224749982,830.9284357279539,485.4559905976057,699.0614050775766,708.4084114629775,0.002008524379838363
Disjunction,1030.5002444423735,542.780483417213,342.2848811671138,387.0656077340245,1239.2418940775096,708.3746221676469,0.0020084285782889302
CircleShape,955.3600166887045,860.6742194145918,407.66870153695345,1028.0061832517385,242.861625790596,698.9141493365169,0.0019816056467445663
NoMovesNext,309.57242627441883,342.2743296083063,827.6436906047165,777.9615925215185,1233.7402924336493,698.2384662885219,0.0019796899073871825
PieceNumberVariance,1578.6204344574362,477.2328879069537,763.6516990698874,344.9765624627471,317.78058449178934,696.4524336777628,0.0019746260346495794
StepDecision,860.6692968346179,637.25584153831,905.5284150987864,428.58987732976675,647.018386669457,695.8123634941876,0.001972811267140166
PieceNumberAverage,849.2139338292181,721.3593791369349,763.4952689986676,297.2056351508945,834.1257480420172,693.0799930315465,0.001965064277409156
NumPerimeterSites,493.8452020660043,649.2046322152019,344.60546888038516,1595.0556246079504,252.74771761894226,667.0917290776968,0.0018913807060450265
BoardSitesOccupiedChangeNumTimes,755.2566518932581,515.8740758895874,101.08988751471043,1294.6043205074966,668.0228453874588,666.9695562385023,0.0018910343138761794
PieceNumberMedian,524.7782959714532,865.3769461400807,689.6025575529784,884.9227519799024,280.87035284377635,649.1101808976382,0.00184039828217417
Arithmetic,562.8266806975007,1077.278634019196,601.7784302160144,364.2608515024185,621.8887320309877,645.6066656932235,0.001830464894047582
PiecesPlacedOnBoard,863.5534482002258,502.48662996292114,619.0596581548452,695.1183031313121,479.0150566250086,631.8466192148626,0.0017914515390784883
AlquerqueBoard,748.0311779230833,708.129500567913,434.71072651445866,408.6704560816288,849.5981032028794,629.8279928579926,0.0017857282018256394
NoMoves,288.6469864696264,287.52484967559576,810.051535345614,1137.2747299447656,580.1756594851613,620.7347521841526,0.0017599464701442955
PenAndPaperStyle,484.3905005156994,437.2712565511465,905.5946376621723,400.4477869272232,842.8268439024687,614.106205111742,0.0017411527938095551
AlquerqueTiling,660.7499288264662,370.80525916814804,335.0064155459404,870.0037149935961,779.2820666283369,603.1694770324975,0.0017101442899191783
SowCW,304.05049031972885,771.8451316803694,1139.1338685266674,221.28559765219688,549.7144160773605,597.2059008512646,0.0016932359811565913
ThreeMensMorrisBoard,555.2788656949997,705.837357962504,887.6300632935017,721.8165740836412,101.8468328397721,594.4819387748837,0.0016855128314146688
NotEqual,760.6760756503791,748.2263001166284,464.49948308616877,371.73334527015686,578.5629281383008,584.7396264523268,0.0016578908107000292
ConditionalStatement,895.3307916820049,405.51010256260633,318.711482770741,489.63972149416804,812.6202096603811,584.3624616339803,0.0016568214491275123
BoardSitesOccupiedChangeAverage,763.3087535593659,763.1036494467407,492.26961338706315,119.1355799138546,752.2426205575466,578.0120433729141,0.0016388163412079423
SquareShape,630.2030133977532,482.67181099392474,523.7769750915468,544.2151652351022,591.0899058897048,554.3913741216063,0.0015718455242446409
PieceNumberMaximum,463.56154209189117,825.5117234308273,421.08277467638254,751.611719597131,277.05969903059304,547.765491765365,0.0015530594030818954
NumVertices,202.39387813955545,742.6121310330927,296.35706503875554,596.505189627409,795.6147665530443,526.6966060783714,0.0014933235644419192
PlayersWithDirections,500.54050617292523,731.4910706803203,531.2649851106107,384.74926218390465,483.69377386569977,526.3479196026922,0.0014923349464695899
NumStartComponentsBoardPerPlayer,690.4781861435622,405.63806211203337,109.85961387120187,1188.4870586050674,211.49319091439247,521.1912223292514,0.001477714351872524
EliminatePiecesEndFrequency,469.6015183702111,813.2618481162935,611.0345012359321,440.4336554352194,257.502141430974,518.366732917726,0.0014697061806652845
HopCaptureFrequency,354.6407013311982,993.192161615938,231.6450787950307,534.5168260429054,456.35746682062745,514.0704469211399,0.0014575250785958148
BoardCoverageFull,1139.2222299575806,366.8846435472369,155.00462823547423,180.3139341585338,679.4757352992892,504.18023423962296,0.0014294837214193952
BoardSitesOccupiedVariance,318.82642344757915,598.8614948038012,550.2104957997799,323.3369563408196,714.0016775391996,501.04740958623586,0.0014206013386127145
MoveAgainFrequency,499.076966188848,437.6258340422064,613.8795424904674,383.03141762316227,412.8945962153375,469.3016713120043,0.001330593811530868
Logic,422.57049864530563,515.0864845085889,405.8983582537621,460.4899847395718,541.9638367947191,469.2018325883895,0.0013303107424605584
NumConcaveCorners,470.80529103428125,601.6102292090654,483.1615895386785,148.68739386834204,640.3881073538214,468.93052220083774,0.0013295415060722217
Negation,776.4391269609332,205.91668166965246,305.94416677206755,690.3056023418903,362.1601938530803,468.1531543195248,0.0013273374634374146
HopCaptureMoreThanOneFrequency,630.1507704854012,323.44668455421925,410.3580931983888,474.73418222926557,481.51933417469263,464.0418129283935,0.0013156807280227797
PromotionDecision,18.075780138373375,54.366155698895454,427.2501951381564,394.89713364839554,1411.6971480548382,461.2572825357318,0.001307785851155759
AdjacentDirection,336.00839775800705,425.7645893841982,422.7809459064156,569.5234237238765,540.1378731615841,458.84304598681626,0.0013009408548390446
NumCells,561.7476402819157,237.8658986762166,649.9858790319413,499.4869686663151,321.80147272348404,454.17757187597454,0.0012877130072535279
SlideDecisionToEnemyFrequency,568.0320337079465,80.93776605278254,19.046315014362335,676.0855032652617,873.8930470664054,443.5989330213517,0.0012577197806046007
NumInnerSites,519.6154810674489,583.3111132755876,656.9948943257332,286.090874876827,155.52984691411257,440.30844209194186,0.0012483903723897718
OrthogonalDirection,356.6998358890414,449.79472743719816,402.54713125526905,558.3160479031503,433.0036407932639,440.0722766555846,0.001247720781192204
NoMovesWin,760.4777023866773,212.80149740725756,475.29642429947853,253.15827631950378,490.39639073610306,438.426058229804,0.0012430533184839463
CaptureEnd,792.8584108054638,214.5978375673294,333.51004641503096,573.7847555875778,270.84412205964327,437.11903448700906,0.0012393475620164167
BoardSitesOccupiedChangeSign,225.35209891200066,508.91656122356653,569.8068268429488,329.05821976065636,542.2586141526699,435.07846417836845,0.0012335620078821642
NumLeftSites,476.34319618716836,280.49512231349945,145.15387108549476,1001.6793462634087,248.02916894294322,430.3401409585029,0.001220127613890427
Capture,240.4577011242509,238.51510174572468,524.3997529372573,928.3284328505397,192.31231725215912,424.8026611819863,0.0012044274006320522
BoardSitesOccupiedAverage,442.74364676885307,351.51982060819864,538.2578147277236,284.8862511832267,503.40716262347996,424.1629391822964,0.0012026136203156345
RelativeDirections,98.3959409147501,43.746410965919495,1074.9665890038013,369.6087944060564,508.1121817678213,418.96598341166975,0.0011878788822784498
StarBoard,799.3339950442314,0.0,767.8099660277367,464.8999029286206,46.83807787299156,415.776388374716,0.001178835540485962
ReachEndFrequency,772.2471647299826,594.8490208499134,178.37981199845672,167.4825592637062,343.1684536039829,411.2254020892084,0.001165932296031432
NumRightSites,91.16601222753525,1010.2487739101052,210.09432875737548,430.41341469809413,297.11619302257895,407.8077445231378,0.0011562423369170056
PieceConditions,243.4085838496685,785.2257831394672,273.23473919183016,348.7722719013691,334.86519289016724,397.10131419450045,0.0011258867877900558
Vertex,222.21917167305946,277.01401334255934,311.84319404885173,496.83100132644176,654.200452581048,392.42156659439206,0.0011126184711040688
HopDecisionEnemyToEmptyFrequency,172.65876662358642,419.79728827625513,527.1606647446752,474.38830060325563,365.6539874803275,391.93180154562,0.0011112298582291597
SquareTiling,377.56617945432663,623.8422477133572,538.9381505250931,173.84239534661174,242.89302913844585,391.4164004355669,0.0011097685603702035
State,763.5576018095016,297.51358066499233,289.0004708915949,190.93973709270358,410.5414642468095,390.3105709411204,0.0011066332425738587
Priority,428.0113909319043,267.3870192244649,401.6242980211973,430.20759280771017,414.14514365792274,388.2750889286399,0.001100862115099036
MancalaFourRows,391.53582421690226,717.8137383684516,527.6701418310404,126.92110040783882,173.28447929024696,387.445056822896,0.0010985087555207777
IsEnemy,849.626907736063,216.00976815074682,272.27247382700443,185.3573508709669,405.976445838809,385.84858928471806,0.001093982349678943
SameLayerDirection,13.424722716212273,306.3130248263478,634.6993355415761,372.4834834933281,544.1670922040939,374.21753175631164,0.001061005238974029
BoardCoverageUsed,568.9563094824553,482.58478633873165,343.0610558204353,149.6667214948684,316.68276680633426,372.19032798856495,0.0010552575825027984
Union,405.77890885807574,498.9114743024111,413.0092843994498,367.2639815583825,172.4804194122553,371.4888137061149,0.0010532686047940274
NumStartComponentsHand,175.43770020641387,179.01271367818117,493.5482031330466,875.8371968269348,131.67080148681998,371.1013230662793,0.001052169966798663
DoLudeme,373.51659681648016,182.4165544733405,568.8715048134327,329.26362846419215,393.4904700666666,369.5117509268224,0.0010476631112278523
PieceNumberChangeSign,309.44090866297483,210.28359704837203,533.7949066851288,348.1186209022999,444.6856697574258,369.26474061124026,0.001046962771942081
RegularShape,285.4083848297596,473.9836473055184,235.65107333660126,418.0023287050426,424.31712974607944,367.47251278460027,0.001041881334136173
EliminatePiecesWinFrequency,356.841989710927,477.0089923143387,363.23081685230136,365.07330952584743,270.10872223973274,366.45276612862943,0.0010389900838536615
StepDecisionToEmpty,295.0411501079798,70.93102145195007,197.70402672886848,673.2354587763548,588.0648931637406,364.99531004577875,0.0010348578120912414
Phase,552.047520218417,256.9451431557536,280.98349538818,273.1373502314091,452.8720298539847,363.1971077695489,0.0010297594351475943
SetMove,401.8278469592333,167.21266352385283,306.54586842656136,525.4670454747975,406.00912807136774,361.41251049116255,0.0010246996319552102
MovesDecision,331.0745007880032,379.9741960540414,121.5724146515131,504.226241953671,465.7238487973809,360.5142404489219,0.0010221527998590287
LesserThan,423.9890868142247,195.82152257487178,186.73513583093882,172.841109611094,820.4345134906471,359.9642736643553,0.0010205934992112257
Intersection,272.53885109722614,351.71381044760346,330.41732157580554,619.3645728081465,219.13933067023754,358.63477731980385,0.0010168240270003821
BallComponent,324.8167023435235,367.7563560269773,266.9203167706728,449.15783244371414,374.997940659523,356.7298296488822,0.0010114229987553038
MorrisTiling,345.319767922163,451.9460190832615,215.53747107088566,630.1615545600653,136.63198796659708,355.9193601205945,0.0010091251042352203
ConcentricTiling,248.5765239596367,181.19682589173317,485.3712363690138,282.7099930346012,566.749436751008,352.92080320119857,0.001000623405808882
PieceState,432.5943344607949,426.7448913529515,303.0805648416281,203.38324292004108,369.56830620765686,347.0742679566145,0.0009840469389201271
CheckersComponent,428.95162642002106,434.8443074822426,307.78470608592033,258.7319847792387,301.5503363609314,346.3725922256708,0.000982057503462365
BoardSitesOccupiedMaxDecrease,146.93972893804312,415.97231590002775,163.84592354949564,400.8126545101404,603.2943988367915,346.1730043468997,0.0009814916192719104
MarkerComponent,269.10147838667035,397.6095727495849,488.57256741449237,342.83813444525003,215.65998283028603,342.7563471652567,0.0009718044965107512
Symbols,322.381233304739,253.57141564786434,354.39286117069423,416.6547543089837,351.26100204885006,339.65225329622626,0.0009630035730429186
RemoveDecisionFrequency,175.8173212427646,170.53408563882113,304.88315883278847,307.52516474574804,735.5723253265023,338.86641115732493,0.000960775503656464
DecisionFactorChangeAverage,231.16310370527208,232.93728535994887,473.22406895272434,204.03120589628816,549.4839716609567,338.167927115038,0.000958795117476458
GoStyle,279.2821450214833,468.7064886074513,461.4364797770977,196.27017514780164,283.8429783731699,337.90765338540075,0.0009580571729194073
MovesOperators,444.6086992919445,462.1094254516065,348.9577244222164,207.3803326189518,223.58345130831003,337.32792661860583,0.0009564134948857886
NumStartComponentsHandPerPlayer,296.3635053932667,320.57418286427855,501.1266785413027,193.067731782794,370.4269486051053,336.31180943734944,0.0009535325351197812
NumStartComponents,191.65464521571994,744.9855992123485,296.4632337652147,270.68991519510746,175.92339144274592,335.94335696622727,0.0009524878753457219
FromToDecisionEmptyFrequency,252.02866760082543,612.4453355669975,401.4443601965904,192.39213280938566,211.53793219476938,333.9696856737137,0.0009468919975375886
LineWinFrequency,379.0155895613134,239.17634238302708,373.8070882707834,367.9679053425789,305.2852184548974,333.05042880252006,0.0009442856622552149
IsEmpty,223.38639564812183,391.30925427377224,230.7311438471079,306.82622737437487,491.4907746948302,328.7487591676414,0.0009320892961536025
LineEndFrequency,370.2678216993809,264.44480073079467,418.35358146578074,316.64332704246044,256.93432044424117,325.3287702765316,0.0009223927271188213
SetNextPlayerFrequency,432.5315499920398,349.59233851358294,307.57936930283904,393.24440339021385,138.51491030491889,324.2925143007189,0.0009194546685674346
NumTopSites,721.7210639864206,107.29343312419951,617.8873583525419,98.21555189043283,61.94994464330375,321.4134703993797,0.0009112918210166515
BoardSitesOccupiedMaxIncrease,354.28752189688385,70.64910654723644,751.1546507421881,289.98854661360383,138.93951405771077,321.0038679715246,0.0009101304902799244
HopDecision,223.48413345962763,395.87808210402727,215.03051940351725,327.83309093490243,432.59136360138655,318.9634379006922,0.0009043453337567847
ControlFlowStatement,466.6752348989248,338.53847647458315,160.19811875373125,180.90364614129066,424.1825852692127,314.0996123075485,0.0008905551074903628
NumCorners,326.1296036168933,118.88501167297363,93.54106791317463,111.00548507273197,916.8654005527496,313.28531376570464,0.0008882463567086173
Connection,98.19498492777348,390.7971375659108,469.34698225557804,266.2866553887725,340.32914116606116,312.9909802608192,0.0008874118437203471
Scoring,697.576002381742,326.91057347133756,126.42562228441238,209.31174790114164,201.37845528125763,312.32048026397825,0.0008855107996777512
NoMovesDraw,22.741803094744682,369.56421674788,421.7250954210758,329.8322338908911,414.3408831246197,311.6408464558423,0.00088358385887508
PieceNumberChangeNumTimes,254.4571408033371,490.96029683947563,111.39042407274246,414.2956090569496,276.72430151700974,309.5655544579029,0.0008776998596089835
RemoveEffect,183.47310345619917,170.30465865135193,431.0088535696268,294.7524607926607,465.5316215828061,309.01413961052896,0.0008761364533218275
SlideDecisionFrequency,399.2986798658967,186.34641797840595,482.1135017350316,204.74005024135113,250.2239093631506,304.5445118367672,0.0008634638816708733
HexShape,271.18674705177546,307.5404004752636,336.14596926793456,296.07640593498945,308.37235415540636,303.8643753770739,0.0008615355157186824
BoardCoverageDefault,229.83518289774656,131.8109036590904,182.1859869044274,810.73278503865,151.77503059990704,301.2679778199643,0.0008541740449783255
NoMovesEndFrequency,504.2701207920909,181.77994652092457,154.40523545257747,284.9722757935524,379.4767737239599,300.98087045662106,0.0008533600200040665
CopyContext,308.01996839791536,533.1730866283178,200.63557943701744,200.13143740594387,243.06810185313225,297.00563474446534,0.0008420891800277597
DecisionFactorChangeLineBestFit,188.0812748093158,299.2280807979405,283.90842358767986,312.4502929467708,392.34954579919577,295.20352358818053,0.0008369797203798969
SingleSiteMoves,332.28000503219664,216.6200406216085,316.5653483122587,330.7917501628399,269.0972554013133,293.0708799060434,0.0008309331139876398
NumStartComponentsBoard,376.7698608338833,318.74140014126897,347.36527369357646,282.0467044003308,136.3877368569374,292.2621951851994,0.0008286402798666226
NoPiece,166.04691348224878,192.60006977245212,343.54504054784775,459.389499489218,293.7900994606316,291.0743245504797,0.0008252723538350817
IsFriend,241.1292952299118,267.4460020661354,451.6308240517974,282.9535736814141,204.76810647547245,289.5855603009462,0.00082105131517626
BoardSitesOccupiedChangeLineBestFit,439.2579328715801,238.39004926756024,180.59821033664048,287.7728728726506,300.5425958149135,289.312332232669,0.0008202766416581158
